contact_pair	end2	region1	region2	pixel_size	chrom2	chrom1	start2	dist_from_diag	end1	start1	Sample	value	Patient	Celltype
(('chr6', 108140000, 108150000), ('chr6', 117260000, 117270000))	117270000	('chr6', 108140000, 108150000)	('chr6', 117260000, 117270000)	100000000	chr6	chr6	117260000	9120000.0	108150000	108140000	91_NeuN-	0.7177695798363676	91	NeuN-
(('chr6', 108140000, 108150000), ('chr6', 137480000, 137490000))	137490000	('chr6', 108140000, 108150000)	('chr6', 137480000, 137490000)	100000000	chr6	chr6	137480000	29340000.0	108150000	108140000	91_NeuN-	1.180154457583645	91	NeuN-
(('chr6', 108140000, 108150000), ('chr6', 149960000, 149970000))	149970000	('chr6', 108140000, 108150000)	('chr6', 149960000, 149970000)	100000000	chr6	chr6	149960000	41820000.0	108150000	108140000	91_NeuN-	2.2101458046781812	91	NeuN-
(('chr6', 117260000, 117270000), ('chr6', 133840000, 133850000))	133850000	('chr6', 117260000, 117270000)	('chr6', 133840000, 133850000)	100000000	chr6	chr6	133840000	16580000.0	117270000	117260000	91_NeuN-	0.7620550029262566	91	NeuN-
(('chr6', 117260000, 117270000), ('chr6', 137480000, 137490000))	137490000	('chr6', 117260000, 117270000)	('chr6', 137480000, 137490000)	100000000	chr6	chr6	137480000	20220000.0	117270000	117260000	91_NeuN-	1.21074570875962	91	NeuN-
(('chr6', 133840000, 133850000), ('chr6', 137480000, 137490000))	137490000	('chr6', 133840000, 133850000)	('chr6', 137480000, 137490000)	100000000	chr6	chr6	137480000	3640000.0	133850000	133840000	91_NeuN-	1.0020562613088515	91	NeuN-
(('chr6', 137480000, 137490000), ('chr6', 149960000, 149970000))	149970000	('chr6', 137480000, 137490000)	('chr6', 149960000, 149970000)	100000000	chr6	chr6	149960000	12480000.0	137490000	137480000	91_NeuN-	1.4654032621133384	91	NeuN-
(('chr7', 1230000, 1240000), ('chr7', 25850000, 25860000))	25860000	('chr7', 1230000, 1240000)	('chr7', 25850000, 25860000)	100000000	chr7	chr7	25850000	24620000.0	1240000	1230000	91_NeuN-	0.9758701300997924	91	NeuN-
(('chr7', 1230000, 1240000), ('chr7', 25940000, 25950000))	25950000	('chr7', 1230000, 1240000)	('chr7', 25940000, 25950000)	100000000	chr7	chr7	25940000	24710000.0	1240000	1230000	91_NeuN-	1.2537655690705778	91	NeuN-
(('chr7', 1230000, 1240000), ('chr7', 27080000, 27240000))	27240000	('chr7', 1230000, 1240000)	('chr7', 27080000, 27240000)	1600000000	chr7	chr7	27080000	25925000.0	1240000	1230000	91_NeuN-	0.7538364599358203	91	NeuN-
(('chr7', 1230000, 1240000), ('chr7', 35240000, 35250000))	35250000	('chr7', 1230000, 1240000)	('chr7', 35240000, 35250000)	100000000	chr7	chr7	35240000	34010000.0	1240000	1230000	91_NeuN-	0.2841831862567994	91	NeuN-
(('chr7', 1230000, 1240000), ('chr7', 155420000, 155520000))	155520000	('chr7', 1230000, 1240000)	('chr7', 155420000, 155520000)	1000000000	chr7	chr7	155420000	154235000.0	1240000	1230000	91_NeuN-	1.7442128662305763	91	NeuN-
(('chr7', 1230000, 1240000), ('chr7', 157000000, 157010000))	157010000	('chr7', 1230000, 1240000)	('chr7', 157000000, 157010000)	100000000	chr7	chr7	157000000	155770000.0	1240000	1230000	91_NeuN-	0.8137983425633813	91	NeuN-
(('chr7', 1230000, 1240000), ('chr8', 11690000, 11700000))	11700000	('chr7', 1230000, 1240000)	('chr8', 11690000, 11700000)	100000000	chr8	chr7	11690000	10460000.0	1240000	1230000	91_NeuN-		91	NeuN-
(('chr7', 1230000, 1240000), ('chr10', 100730000, 100750000))	100750000	('chr7', 1230000, 1240000)	('chr10', 100730000, 100750000)	200000000	chr10	chr7	100730000	99505000.0	1240000	1230000	91_NeuN-		91	NeuN-
(('chr7', 1230000, 1240000), ('chr10', 101220000, 101240000))	101240000	('chr7', 1230000, 1240000)	('chr10', 101220000, 101240000)	200000000	chr10	chr7	101220000	99995000.0	1240000	1230000	91_NeuN-		91	NeuN-
(('chr7', 1230000, 1240000), ('chr12', 53900000, 54070000))	54070000	('chr7', 1230000, 1240000)	('chr12', 53900000, 54070000)	1700000000	chr12	chr7	53900000	52750000.0	1240000	1230000	91_NeuN-		91	NeuN-
(('chr7', 1230000, 1240000), ('chr17', 48500000, 48640000))	48640000	('chr7', 1230000, 1240000)	('chr17', 48500000, 48640000)	1400000000	chr17	chr7	48500000	47335000.0	1240000	1230000	91_NeuN-		91	NeuN-
(('chr7', 1230000, 1240000), ('chr17', 49000000, 49020000))	49020000	('chr7', 1230000, 1240000)	('chr17', 49000000, 49020000)	200000000	chr17	chr7	49000000	47775000.0	1240000	1230000	91_NeuN-		91	NeuN-
(('chr7', 1230000, 1240000), ('chr17', 79780000, 79800000))	79800000	('chr7', 1230000, 1240000)	('chr17', 79780000, 79800000)	200000000	chr17	chr7	79780000	78555000.0	1240000	1230000	91_NeuN-		91	NeuN-
(('chr7', 19100000, 19110000), ('chr7', 20780000, 20790000))	20790000	('chr7', 19100000, 19110000)	('chr7', 20780000, 20790000)	100000000	chr7	chr7	20780000	1680000.0	19110000	19100000	91_NeuN-	1.1285828497036683	91	NeuN-
(('chr7', 19100000, 19110000), ('chr7', 23450000, 23470000))	23470000	('chr7', 19100000, 19110000)	('chr7', 23450000, 23470000)	200000000	chr7	chr7	23450000	4355000.0	19110000	19100000	91_NeuN-	1.3175367823862485	91	NeuN-
(('chr7', 19100000, 19110000), ('chr7', 25850000, 25860000))	25860000	('chr7', 19100000, 19110000)	('chr7', 25850000, 25860000)	100000000	chr7	chr7	25850000	6750000.0	19110000	19100000	91_NeuN-	0.8419672908972338	91	NeuN-
(('chr7', 19100000, 19110000), ('chr7', 25940000, 25950000))	25950000	('chr7', 19100000, 19110000)	('chr7', 25940000, 25950000)	100000000	chr7	chr7	25940000	6840000.0	19110000	19100000	91_NeuN-	0.844319399865111	91	NeuN-
(('chr7', 19100000, 19110000), ('chr7', 27080000, 27240000))	27240000	('chr7', 19100000, 19110000)	('chr7', 27080000, 27240000)	1600000000	chr7	chr7	27080000	8055000.0	19110000	19100000	91_NeuN-	1.526335476152095	91	NeuN-
(('chr7', 19100000, 19110000), ('chr7', 35240000, 35250000))	35250000	('chr7', 19100000, 19110000)	('chr7', 35240000, 35250000)	100000000	chr7	chr7	35240000	16140000.0	19110000	19100000	91_NeuN-	0.9419547619615145	91	NeuN-
(('chr7', 19100000, 19110000), ('chr7', 122290000, 122300000))	122300000	('chr7', 19100000, 19110000)	('chr7', 122290000, 122300000)	100000000	chr7	chr7	122290000	103190000.0	19110000	19100000	91_NeuN-	1.4858504909537888	91	NeuN-
(('chr7', 19100000, 19110000), ('chr7', 157000000, 157010000))	157010000	('chr7', 19100000, 19110000)	('chr7', 157000000, 157010000)	100000000	chr7	chr7	157000000	137900000.0	19110000	19100000	91_NeuN-	1.0554653259847944	91	NeuN-
(('chr7', 20780000, 20790000), ('chr7', 23450000, 23470000))	23470000	('chr7', 20780000, 20790000)	('chr7', 23450000, 23470000)	200000000	chr7	chr7	23450000	2675000.0	20790000	20780000	91_NeuN-	1.3284427300355481	91	NeuN-
(('chr7', 20780000, 20790000), ('chr7', 25850000, 25860000))	25860000	('chr7', 20780000, 20790000)	('chr7', 25850000, 25860000)	100000000	chr7	chr7	25850000	5070000.0	20790000	20780000	91_NeuN-	1.089010199178039	91	NeuN-
(('chr7', 20780000, 20790000), ('chr7', 27080000, 27240000))	27240000	('chr7', 20780000, 20790000)	('chr7', 27080000, 27240000)	1600000000	chr7	chr7	27080000	6375000.0	20790000	20780000	91_NeuN-	1.597082829646901	91	NeuN-
(('chr7', 20780000, 20790000), ('chr7', 35240000, 35250000))	35250000	('chr7', 20780000, 20790000)	('chr7', 35240000, 35250000)	100000000	chr7	chr7	35240000	14460000.0	20790000	20780000	91_NeuN-	1.820408485285361	91	NeuN-
(('chr7', 20780000, 20790000), ('chr7', 122290000, 122300000))	122300000	('chr7', 20780000, 20790000)	('chr7', 122290000, 122300000)	100000000	chr7	chr7	122290000	101510000.0	20790000	20780000	91_NeuN-	1.7533062405151005	91	NeuN-
(('chr7', 23450000, 23470000), ('chr7', 25850000, 25860000))	25860000	('chr7', 23450000, 23470000)	('chr7', 25850000, 25860000)	200000000	chr7	chr7	25850000	2395000.0	23470000	23450000	91_NeuN-	1.022266776727282	91	NeuN-
(('chr7', 23450000, 23470000), ('chr7', 25940000, 25950000))	25950000	('chr7', 23450000, 23470000)	('chr7', 25940000, 25950000)	200000000	chr7	chr7	25940000	2485000.0	23470000	23450000	91_NeuN-	1.1760366791402903	91	NeuN-
(('chr7', 23450000, 23470000), ('chr7', 27080000, 27240000))	27240000	('chr7', 23450000, 23470000)	('chr7', 27080000, 27240000)	3200000000	chr7	chr7	27080000	3700000.0	23470000	23450000	91_NeuN-	1.4034052544626343	91	NeuN-
(('chr7', 23450000, 23470000), ('chr7', 35240000, 35250000))	35250000	('chr7', 23450000, 23470000)	('chr7', 35240000, 35250000)	200000000	chr7	chr7	35240000	11785000.0	23470000	23450000	91_NeuN-	2.42011214327088	91	NeuN-
(('chr7', 23450000, 23470000), ('chr7', 97000000, 97010000))	97010000	('chr7', 23450000, 23470000)	('chr7', 97000000, 97010000)	200000000	chr7	chr7	97000000	73545000.0	23470000	23450000	91_NeuN-	0.9729642055460423	91	NeuN-
(('chr7', 23450000, 23470000), ('chr7', 157000000, 157010000))	157010000	('chr7', 23450000, 23470000)	('chr7', 157000000, 157010000)	200000000	chr7	chr7	157000000	133545000.0	23470000	23450000	91_NeuN-	1.65637584578904	91	NeuN-
(('chr7', 25850000, 25860000), ('chr7', 27080000, 27240000))	27240000	('chr7', 25850000, 25860000)	('chr7', 27080000, 27240000)	1600000000	chr7	chr7	27080000	1305000.0	25860000	25850000	91_NeuN-	2.051993210172906	91	NeuN-
(('chr7', 25850000, 25860000), ('chr7', 35240000, 35250000))	35250000	('chr7', 25850000, 25860000)	('chr7', 35240000, 35250000)	100000000	chr7	chr7	35240000	9390000.0	25860000	25850000	91_NeuN-	1.2421753908793727	91	NeuN-
(('chr7', 25850000, 25860000), ('chr7', 122290000, 122300000))	122300000	('chr7', 25850000, 25860000)	('chr7', 122290000, 122300000)	100000000	chr7	chr7	122290000	96440000.0	25860000	25850000	91_NeuN-	1.0727003757227476	91	NeuN-
(('chr7', 25850000, 25860000), ('chr7', 155420000, 155520000))	155520000	('chr7', 25850000, 25860000)	('chr7', 155420000, 155520000)	1000000000	chr7	chr7	155420000	129615000.0	25860000	25850000	91_NeuN-	1.9702270776290147	91	NeuN-
(('chr7', 25850000, 25860000), ('chr7', 157000000, 157010000))	157010000	('chr7', 25850000, 25860000)	('chr7', 157000000, 157010000)	100000000	chr7	chr7	157000000	131150000.0	25860000	25850000	91_NeuN-	1.2848675625603176	91	NeuN-
(('chr7', 25940000, 25950000), ('chr7', 27080000, 27240000))	27240000	('chr7', 25940000, 25950000)	('chr7', 27080000, 27240000)	1600000000	chr7	chr7	27080000	1215000.0	25950000	25940000	91_NeuN-	1.93784137240862	91	NeuN-
(('chr7', 25940000, 25950000), ('chr7', 35240000, 35250000))	35250000	('chr7', 25940000, 25950000)	('chr7', 35240000, 35250000)	100000000	chr7	chr7	35240000	9300000.0	25950000	25940000	91_NeuN-	1.592281380421822	91	NeuN-
(('chr7', 25940000, 25950000), ('chr7', 155420000, 155520000))	155520000	('chr7', 25940000, 25950000)	('chr7', 155420000, 155520000)	1000000000	chr7	chr7	155420000	129525000.0	25950000	25940000	91_NeuN-	1.558530945580326	91	NeuN-
(('chr7', 25940000, 25950000), ('chr7', 157000000, 157010000))	157010000	('chr7', 25940000, 25950000)	('chr7', 157000000, 157010000)	100000000	chr7	chr7	157000000	131060000.0	25950000	25940000	91_NeuN-	1.4940715986882913	91	NeuN-
(('chr7', 27080000, 27240000), ('chr7', 35240000, 35250000))	35250000	('chr7', 27080000, 27240000)	('chr7', 35240000, 35250000)	1600000000	chr7	chr7	35240000	8085000.0	27240000	27080000	91_NeuN-	1.311931417526373	91	NeuN-
(('chr7', 27080000, 27240000), ('chr7', 97000000, 97010000))	97010000	('chr7', 27080000, 27240000)	('chr7', 97000000, 97010000)	1600000000	chr7	chr7	97000000	69845000.0	27240000	27080000	91_NeuN-	0.4359567821696518	91	NeuN-
(('chr7', 27080000, 27240000), ('chr7', 122290000, 122300000))	122300000	('chr7', 27080000, 27240000)	('chr7', 122290000, 122300000)	1600000000	chr7	chr7	122290000	95135000.0	27240000	27080000	91_NeuN-	0.7442736932913017	91	NeuN-
(('chr7', 27080000, 27240000), ('chr7', 155420000, 155520000))	155520000	('chr7', 27080000, 27240000)	('chr7', 155420000, 155520000)	16000000000	chr7	chr7	155420000	128310000.0	27240000	27080000	91_NeuN-	1.2548159048695222	91	NeuN-
(('chr7', 27080000, 27240000), ('chr7', 157000000, 157010000))	157010000	('chr7', 27080000, 27240000)	('chr7', 157000000, 157010000)	1600000000	chr7	chr7	157000000	129845000.0	27240000	27080000	91_NeuN-	0.9774632402673108	91	NeuN-
(('chr7', 35240000, 35250000), ('chr7', 97000000, 97010000))	97010000	('chr7', 35240000, 35250000)	('chr7', 97000000, 97010000)	100000000	chr7	chr7	97000000	61760000.0	35250000	35240000	91_NeuN-	0.6745678995272953	91	NeuN-
(('chr7', 35240000, 35250000), ('chr7', 122290000, 122300000))	122300000	('chr7', 35240000, 35250000)	('chr7', 122290000, 122300000)	100000000	chr7	chr7	122290000	87050000.0	35250000	35240000	91_NeuN-	0.7207201581713067	91	NeuN-
(('chr7', 35240000, 35250000), ('chr7', 155420000, 155520000))	155520000	('chr7', 35240000, 35250000)	('chr7', 155420000, 155520000)	1000000000	chr7	chr7	155420000	120225000.0	35250000	35240000	91_NeuN-	2.9760039475063684	91	NeuN-
(('chr7', 35240000, 35250000), ('chr7', 157000000, 157010000))	157010000	('chr7', 35240000, 35250000)	('chr7', 157000000, 157010000)	100000000	chr7	chr7	157000000	121760000.0	35250000	35240000	91_NeuN-	2.1492514598408015	91	NeuN-
(('chr7', 97000000, 97010000), ('chr7', 122290000, 122300000))	122300000	('chr7', 97000000, 97010000)	('chr7', 122290000, 122300000)	100000000	chr7	chr7	122290000	25290000.0	97010000	97000000	91_NeuN-	1.0838025828837115	91	NeuN-
(('chr7', 97000000, 97010000), ('chr7', 155420000, 155520000))	155520000	('chr7', 97000000, 97010000)	('chr7', 155420000, 155520000)	1000000000	chr7	chr7	155420000	58465000.0	97010000	97000000	91_NeuN-	0.9180614931963673	91	NeuN-
(('chr7', 97000000, 97010000), ('chr7', 157000000, 157010000))	157010000	('chr7', 97000000, 97010000)	('chr7', 157000000, 157010000)	100000000	chr7	chr7	157000000	60000000.0	97010000	97000000	91_NeuN-	2.217747022844824	91	NeuN-
(('chr7', 155420000, 155520000), ('chr7', 157000000, 157010000))	157010000	('chr7', 155420000, 155520000)	('chr7', 157000000, 157010000)	1000000000	chr7	chr7	157000000	1535000.0	155520000	155420000	91_NeuN-	1.5076137686663758	91	NeuN-
(('chr7', 155420000, 155520000), ('chr8', 11690000, 11700000))	11700000	('chr7', 155420000, 155520000)	('chr8', 11690000, 11700000)	1000000000	chr8	chr7	11690000	143775000.0	155520000	155420000	91_NeuN-		91	NeuN-
(('chr7', 155420000, 155520000), ('chr12', 53900000, 54070000))	54070000	('chr7', 155420000, 155520000)	('chr12', 53900000, 54070000)	17000000000	chr12	chr7	53900000	101485000.0	155520000	155420000	91_NeuN-		91	NeuN-
(('chr8', 11690000, 11700000), ('chr8', 23710000, 23720000))	23720000	('chr8', 11690000, 11700000)	('chr8', 23710000, 23720000)	100000000	chr8	chr8	23710000	12020000.0	11700000	11690000	91_NeuN-	1.2980672763927792	91	NeuN-
(('chr8', 11690000, 11700000), ('chr8', 26040000, 26050000))	26050000	('chr8', 11690000, 11700000)	('chr8', 26040000, 26050000)	100000000	chr8	chr8	26040000	14350000.0	11700000	11690000	91_NeuN-	1.9536475703287985	91	NeuN-
(('chr8', 11690000, 11700000), ('chr8', 54450000, 54460000))	54460000	('chr8', 11690000, 11700000)	('chr8', 54450000, 54460000)	100000000	chr8	chr8	54450000	42760000.0	11700000	11690000	91_NeuN-	1.0366184210517055	91	NeuN-
(('chr8', 11690000, 11700000), ('chr8', 98940000, 98950000))	98950000	('chr8', 11690000, 11700000)	('chr8', 98940000, 98950000)	100000000	chr8	chr8	98940000	87250000.0	11700000	11690000	91_NeuN-	1.3932847422721861	91	NeuN-
(('chr8', 11690000, 11700000), ('chr10', 123130000, 123140000))	123140000	('chr8', 11690000, 11700000)	('chr10', 123130000, 123140000)	100000000	chr10	chr8	123130000	111440000.0	11700000	11690000	91_NeuN-		91	NeuN-
(('chr8', 11690000, 11700000), ('chr10', 129960000, 129970000))	129970000	('chr8', 11690000, 11700000)	('chr10', 129960000, 129970000)	100000000	chr10	chr8	129960000	118270000.0	11700000	11690000	91_NeuN-		91	NeuN-
(('chr8', 11690000, 11700000), ('chr16', 86500000, 86510000))	86510000	('chr8', 11690000, 11700000)	('chr16', 86500000, 86510000)	100000000	chr16	chr8	86500000	74810000.0	11700000	11690000	91_NeuN-		91	NeuN-
(('chr8', 11690000, 11700000), ('chr16', 86560000, 86570000))	86570000	('chr8', 11690000, 11700000)	('chr16', 86560000, 86570000)	100000000	chr16	chr8	86560000	74870000.0	11700000	11690000	91_NeuN-		91	NeuN-
(('chr8', 11690000, 11700000), ('chr17', 48500000, 48640000))	48640000	('chr8', 11690000, 11700000)	('chr17', 48500000, 48640000)	1400000000	chr17	chr8	48500000	36875000.0	11700000	11690000	91_NeuN-		91	NeuN-
(('chr8', 11690000, 11700000), ('chr8', 64550000, 64560000))	64560000	('chr8', 11690000, 11700000)	('chr8', 64550000, 64560000)	100000000	chr8	chr8	64550000	52860000.0	11700000	11690000	91_NeuN-	1.2464312879743267	91	NeuN-
(('chr8', 23710000, 23720000), ('chr8', 26040000, 26050000))	26050000	('chr8', 23710000, 23720000)	('chr8', 26040000, 26050000)	100000000	chr8	chr8	26040000	2330000.0	23720000	23710000	91_NeuN-	1.256964456908289	91	NeuN-
(('chr8', 23710000, 23720000), ('chr8', 54450000, 54460000))	54460000	('chr8', 23710000, 23720000)	('chr8', 54450000, 54460000)	100000000	chr8	chr8	54450000	30740000.0	23720000	23710000	91_NeuN-	0.8084196829867111	91	NeuN-
(('chr8', 23710000, 23720000), ('chr8', 76670000, 76680000))	76680000	('chr8', 23710000, 23720000)	('chr8', 76670000, 76680000)	100000000	chr8	chr8	76670000	52960000.0	23720000	23710000	91_NeuN-	1.0223006978613596	91	NeuN-
(('chr8', 23710000, 23720000), ('chr8', 98940000, 98950000))	98950000	('chr8', 23710000, 23720000)	('chr8', 98940000, 98950000)	100000000	chr8	chr8	98940000	75230000.0	23720000	23710000	91_NeuN-	1.2735078366652561	91	NeuN-
(('chr8', 26040000, 26050000), ('chr8', 54450000, 54460000))	54460000	('chr8', 26040000, 26050000)	('chr8', 54450000, 54460000)	100000000	chr8	chr8	54450000	28410000.0	26050000	26040000	91_NeuN-	0.665735118678398	91	NeuN-
(('chr8', 26040000, 26050000), ('chr8', 98940000, 98950000))	98950000	('chr8', 26040000, 26050000)	('chr8', 98940000, 98950000)	100000000	chr8	chr8	98940000	72900000.0	26050000	26040000	91_NeuN-	2.644132527652255	91	NeuN-
(('chr8', 54450000, 54460000), ('chr8', 71550000, 71560000))	71560000	('chr8', 54450000, 54460000)	('chr8', 71550000, 71560000)	100000000	chr8	chr8	71550000	17100000.0	54460000	54450000	91_NeuN-	1.0492529082030846	91	NeuN-
(('chr8', 54450000, 54460000), ('chr8', 76670000, 76680000))	76680000	('chr8', 54450000, 54460000)	('chr8', 76670000, 76680000)	100000000	chr8	chr8	76670000	22220000.0	54460000	54450000	91_NeuN-	0.8190540994672284	91	NeuN-
(('chr8', 54450000, 54460000), ('chr8', 98940000, 98950000))	98950000	('chr8', 54450000, 54460000)	('chr8', 98940000, 98950000)	100000000	chr8	chr8	98940000	44490000.0	54460000	54450000	91_NeuN-	0.8911272329961787	91	NeuN-
(('chr8', 54450000, 54460000), ('chr8', 64550000, 64560000))	64560000	('chr8', 54450000, 54460000)	('chr8', 64550000, 64560000)	100000000	chr8	chr8	64550000	10100000.0	54460000	54450000	91_NeuN-	1.0969506071784936	91	NeuN-
(('chr8', 71550000, 71560000), ('chr8', 76670000, 76680000))	76680000	('chr8', 71550000, 71560000)	('chr8', 76670000, 76680000)	100000000	chr8	chr8	76670000	5120000.0	71560000	71550000	91_NeuN-	0.7037928954049989	91	NeuN-
(('chr8', 71550000, 71560000), ('chr8', 98940000, 98950000))	98950000	('chr8', 71550000, 71560000)	('chr8', 98940000, 98950000)	100000000	chr8	chr8	98940000	27390000.0	71560000	71550000	91_NeuN-	0.4503816863125155	91	NeuN-
(('chr8', 71550000, 71560000), ('chr8', 64550000, 64560000))	64560000	('chr8', 71550000, 71560000)	('chr8', 64550000, 64560000)	100000000	chr8	chr8	64550000	7000000.0	71560000	71550000	91_NeuN-		91	NeuN-
(('chr8', 76670000, 76680000), ('chr8', 98940000, 98950000))	98950000	('chr8', 76670000, 76680000)	('chr8', 98940000, 98950000)	100000000	chr8	chr8	98940000	22270000.0	76680000	76670000	91_NeuN-	0.7455717994879001	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 14310000, 14320000))	14320000	('chr9', 830000, 1040000)	('chr9', 14310000, 14320000)	2100000000	chr9	chr9	14310000	13380000.0	1040000	830000	91_NeuN-	1.2128109656970514	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 21970000, 21990000))	21990000	('chr9', 830000, 1040000)	('chr9', 21970000, 21990000)	4200000000	chr9	chr9	21970000	21045000.0	1040000	830000	91_NeuN-	2.6040778461175513	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 37010000, 37030000))	37030000	('chr9', 830000, 1040000)	('chr9', 37010000, 37030000)	4200000000	chr9	chr9	37010000	36085000.0	1040000	830000	91_NeuN-	1.9644383790002846	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 68360000, 68460000))	68460000	('chr9', 830000, 1040000)	('chr9', 68360000, 68460000)	21000000000	chr9	chr9	68360000	67475000.0	1040000	830000	91_NeuN-	4.28994258837471	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 77010000, 77020000))	77020000	('chr9', 830000, 1040000)	('chr9', 77010000, 77020000)	2100000000	chr9	chr9	77010000	76080000.0	1040000	830000	91_NeuN-	1.559562102336644	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 93940000, 93950000))	93950000	('chr9', 830000, 1040000)	('chr9', 93940000, 93950000)	2100000000	chr9	chr9	93940000	93010000.0	1040000	830000	91_NeuN-	1.6219067696026213	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 97810000, 97850000))	97850000	('chr9', 830000, 1040000)	('chr9', 97810000, 97850000)	8400000000	chr9	chr9	97810000	96895000.0	1040000	830000	91_NeuN-	1.1514786006256783	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 122210000, 122220000))	122220000	('chr9', 830000, 1040000)	('chr9', 122210000, 122220000)	2100000000	chr9	chr9	122210000	121280000.0	1040000	830000	91_NeuN-	1.8902707231368368	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 126610000, 126620000))	126620000	('chr9', 830000, 1040000)	('chr9', 126610000, 126620000)	2100000000	chr9	chr9	126610000	125680000.0	1040000	830000	91_NeuN-	2.31380198810213	91	NeuN-
(('chr9', 830000, 1040000), ('chr9', 132460000, 132610000))	132610000	('chr9', 830000, 1040000)	('chr9', 132460000, 132610000)	31500000000	chr9	chr9	132460000	131600000.0	1040000	830000	91_NeuN-	2.1622373299816067	91	NeuN-
(('chr9', 14310000, 14320000), ('chr9', 21970000, 21990000))	21990000	('chr9', 14310000, 14320000)	('chr9', 21970000, 21990000)	200000000	chr9	chr9	21970000	7665000.0	14320000	14310000	91_NeuN-	1.1583239953608389	91	NeuN-
(('chr9', 21970000, 21990000), ('chr9', 37010000, 37030000))	37030000	('chr9', 21970000, 21990000)	('chr9', 37010000, 37030000)	400000000	chr9	chr9	37010000	15040000.0	21990000	21970000	91_NeuN-	1.3608839302995481	91	NeuN-
(('chr9', 21970000, 21990000), ('chr9', 68360000, 68460000))	68460000	('chr9', 21970000, 21990000)	('chr9', 68360000, 68460000)	2000000000	chr9	chr9	68360000	46430000.0	21990000	21970000	91_NeuN-	1.2867025695497367	91	NeuN-
(('chr9', 21970000, 21990000), ('chr9', 77010000, 77020000))	77020000	('chr9', 21970000, 21990000)	('chr9', 77010000, 77020000)	200000000	chr9	chr9	77010000	55035000.0	21990000	21970000	91_NeuN-	2.017377325444987	91	NeuN-
(('chr9', 21970000, 21990000), ('chr9', 122210000, 122220000))	122220000	('chr9', 21970000, 21990000)	('chr9', 122210000, 122220000)	200000000	chr9	chr9	122210000	100235000.0	21990000	21970000	91_NeuN-	0.3049032554454248	91	NeuN-
(('chr9', 21970000, 21990000), ('chr9', 126610000, 126620000))	126620000	('chr9', 21970000, 21990000)	('chr9', 126610000, 126620000)	200000000	chr9	chr9	126610000	104635000.0	21990000	21970000	91_NeuN-	1.9240888679283452	91	NeuN-
(('chr9', 37010000, 37030000), ('chr9', 77010000, 77020000))	77020000	('chr9', 37010000, 37030000)	('chr9', 77010000, 77020000)	200000000	chr9	chr9	77010000	39995000.0	37030000	37010000	91_NeuN-	1.2336792571387138	91	NeuN-
(('chr9', 37010000, 37030000), ('chr9', 93940000, 93950000))	93950000	('chr9', 37010000, 37030000)	('chr9', 93940000, 93950000)	200000000	chr9	chr9	93940000	56925000.0	37030000	37010000	91_NeuN-	1.7621047732014248	91	NeuN-
(('chr9', 37010000, 37030000), ('chr9', 97810000, 97850000))	97850000	('chr9', 37010000, 37030000)	('chr9', 97810000, 97850000)	800000000	chr9	chr9	97810000	60810000.0	37030000	37010000	91_NeuN-	2.128547286399091	91	NeuN-
(('chr9', 37010000, 37030000), ('chr9', 122210000, 122220000))	122220000	('chr9', 37010000, 37030000)	('chr9', 122210000, 122220000)	200000000	chr9	chr9	122210000	85195000.0	37030000	37010000	91_NeuN-	1.6692450476993124	91	NeuN-
(('chr9', 37010000, 37030000), ('chr9', 126610000, 126620000))	126620000	('chr9', 37010000, 37030000)	('chr9', 126610000, 126620000)	200000000	chr9	chr9	126610000	89595000.0	37030000	37010000	91_NeuN-	2.4962628094727983	91	NeuN-
(('chr9', 37010000, 37030000), ('chr9', 132460000, 132610000))	132610000	('chr9', 37010000, 37030000)	('chr9', 132460000, 132610000)	3000000000	chr9	chr9	132460000	95515000.0	37030000	37010000	91_NeuN-	1.8663024507646222	91	NeuN-
(('chr9', 68360000, 68460000), ('chr9', 77010000, 77020000))	77020000	('chr9', 68360000, 68460000)	('chr9', 77010000, 77020000)	1000000000	chr9	chr9	77010000	8605000.0	68460000	68360000	91_NeuN-	1.805545350134506	91	NeuN-
(('chr9', 77010000, 77020000), ('chr9', 93940000, 93950000))	93950000	('chr9', 77010000, 77020000)	('chr9', 93940000, 93950000)	100000000	chr9	chr9	93940000	16930000.0	77020000	77010000	91_NeuN-	0.7452009209021868	91	NeuN-
(('chr9', 77010000, 77020000), ('chr9', 97810000, 97850000))	97850000	('chr9', 77010000, 77020000)	('chr9', 97810000, 97850000)	400000000	chr9	chr9	97810000	20815000.0	77020000	77010000	91_NeuN-	1.255123903874808	91	NeuN-
(('chr9', 77010000, 77020000), ('chr9', 122210000, 122220000))	122220000	('chr9', 77010000, 77020000)	('chr9', 122210000, 122220000)	100000000	chr9	chr9	122210000	45200000.0	77020000	77010000	91_NeuN-	2.277147457448606	91	NeuN-
